problem_id	diagnosis_success	diagnosis_score	mitigation_success	status
admission_webhook_outage_hotel_reservation	?	?	?	NO_CSV_rc124
astronomy_shop_ad_service_image_slow_load	?	?	?	NO_CSV_rc0
astronomy_shop_payment_service_unreachable	?	?	?	NO_CSV_rc0
cfs_cpu_throttling_hotel_reservation	?	?	?	NO_CSV_rc124
duplicate_pvc_mounts_astronomy_shop	?	?	?	NO_CSV_rc0
ephemeral_port_range_hotel_reservation	?	?	?	NO_CSV_rc124
finalizer_deadlock_controller_hotel_reservation	?	?	?	NO_CSV_rc124
ingress_misroute	False	0.11	False	CSV_FOUND_rc0
k8s_target_port-misconfig	False	0.11	False	CSV_FOUND_rc0
kubelet_eviction_threshold_misconfig	?	?	?	NO_CSV_rc0
liveness_probe_too_aggressive_astronomy_shop	?	?	?	NO_CSV_rc0
misconfig_app_hotel_res	True	1.0	True	CSV_FOUND_rc0
missing_service_hotel_reservation	False	0.44	False	CSV_FOUND_rc0
nightly_rebalance_oom_hotel_reservation	False	0.11	False	CSV_FOUND_rc0
operator_overload_replicas	?	?	?	NO_CSV_rc0
pod_anti_affinity_deadlock	False	0.11	False	CSV_FOUND_rc0
pvc_claim_mismatch	False	0.11	False	CSV_FOUND_rc0
resource_request_too_large	False	0.0	False	CSV_FOUND_rc0
rolling_update_misconfigured_social_network	False	0.11	False	CSV_FOUND_rc0
service_dns_resolution_failure_social_network	False	0.11	False	CSV_FOUND_rc0
sidecar_port_conflict_astronomy_shop	?	?	?	NO_CSV_rc0
stale_coredns_config_social_network	False	0.11	False	CSV_FOUND_rc0
trainticket_f22_sql_column_name_mismatch_error	?	?	?	NO_CSV_rc0
workload_imbalance	?	?	?	NO_CSV_rc0
wrong_service_selector_astronomy_shop	?	?	?	NO_CSV_rc0
