# slug	repository	path	requested_ref	adapter	smoke	local_safe	requires_authority	pin	resolution	smoke_standing
agentbench	https://github.com/THUDM/AgentBench.git	vendor/gyms/agentbench	HEAD	NATIVE_COMMAND	none	true	false	d1e4a10db08c87075c78972e48ecc182be03e2d5	PINNED	NOT_RUN
agentdojo	https://github.com/ethz-spylab/agentdojo.git	vendor/gyms/agentdojo	HEAD	NATIVE_COMMAND	none	true	false	089ed468cf3ed0322acc66b0211f26d9d90dbf60	PINNED	NOT_RUN
agentgym	https://github.com/WooooDyy/AgentGym.git	vendor/gyms/agentgym	HEAD	GYMNASIUM	none	true	false	3ef9235d23e68e7c2920c5422ad957dc8ced5c6c	PINNED	NOT_RUN
agentlab	https://github.com/ServiceNow/AgentLab.git	vendor/gyms/agentlab	HEAD	BROWSERGYM	none	true	false	cbc35a9bc0facaf731bc858c5825edbe757c719f	PINNED	NOT_RUN
aiopslab	https://github.com/microsoft/AIOpsLab.git	vendor/gyms/aiopslab	HEAD	KUBERNETES	none	false	false	80901cc77de13a8fb35dc0e3feff78ca09fd6ae4	PINNED	NOT_RUN
androidworld	https://github.com/google-research/android_world.git	vendor/gyms/androidworld	HEAD	NATIVE_COMMAND	none	false	false	3e50888527ef9f29b9157ecd537e408008bb1c85	PINNED	NOT_RUN
asb	https://github.com/agiresearch/ASB.git	vendor/gyms/asb	HEAD	NATIVE_COMMAND	none	true	false	1f561dccf92d55302368fa67679b4ba9d9c8fdc4	PINNED	NOT_RUN
assetopsbench	https://github.com/IBM/AssetOpsBench.git	vendor/gyms/assetopsbench	HEAD	NATIVE_COMMAND	none	true	false	e11d1c1b2022db0396364a6d66e24168955a3bb7	PINNED	NOT_RUN
azuregoat	https://github.com/ine-labs/AzureGoat.git	vendor/gyms/azuregoat	HEAD	TERRAFORM	none	false	true	b97045952e6df00de735a7f27fd7c4994dcfe8c0	PINNED	NOT_RUN
bountytasks	https://github.com/bountybench/bountytasks.git	vendor/gyms/bountytasks	HEAD	NATIVE_COMMAND	none	false	false	1956e5fd4eff12034a5fbe0544482d2cf52bb5b0	PINNED	NOT_RUN
browsergym	https://github.com/ServiceNow/BrowserGym.git	vendor/gyms/browsergym	HEAD	BROWSERGYM	core	true	false	9e779f087de9a65668b6974d11f9ce9816026e96	PINNED	BOOTSTRAPS
cloudfoxable	https://github.com/BishopFox/cloudfoxable.git	vendor/gyms/cloudfoxable	HEAD	TERRAFORM	none	false	true	fc49b7f637268031515ced9fee4b643d3e68db67	PINNED	NOT_RUN
cloudgoat	https://github.com/RhinoSecurityLabs/cloudgoat.git	vendor/gyms/cloudgoat	HEAD	TERRAFORM	none	false	true	abf1ba8f5e47d7ced750fdfa025d51c99f1a43ed	PINNED	NOT_RUN
crmarena	https://github.com/SalesforceAIResearch/CRMArena.git	vendor/gyms/crmarena	HEAD	NATIVE_COMMAND	none	false	false	a37d882c3a947f0330a907f513b90a7f08b9c532	PINNED	NOT_RUN
cube-harness	https://github.com/The-AI-Alliance/cube-harness.git	vendor/gyms/cube-harness	HEAD	CUBE	none	true	false	126989d75eb156949af37cd182fe9b0d69d94434	PINNED	NOT_RUN
cube-standard	https://github.com/The-AI-Alliance/cube-standard.git	vendor/gyms/cube-standard	HEAD	CUBE	core	true	false	9ca7c062d211450df05eb8318a1e847b5373b689	PINNED	SCENARIO_RUNS
cybench	https://github.com/andyzorigin/cybench.git	vendor/gyms/cybench	HEAD	NATIVE_COMMAND	none	true	false	1097a7226eb034d3821208114da38f10b8627ab1	PINNED	NOT_RUN
cybergym-e2e	https://github.com/sunblaze-ucb/cybergym-e2e.git	vendor/gyms/cybergym-e2e	HEAD	NATIVE_COMMAND	none	false	false	b861317f11641b14ab6ba08b5179d0b044601057	PINNED	NOT_RUN
devops-gym	https://github.com/ucsb-mlsec/DevOps-Gym.git	vendor/gyms/devops-gym	HEAD	NATIVE_COMMAND	none	false	false	9bbe3f0de632299faa9102b282ebc9ea4a516d67	PINNED	NOT_RUN
doomarena	https://github.com/ServiceNow/DoomArena.git	vendor/gyms/doomarena	HEAD	BROWSERGYM	none	false	false	b80902f107b4d28194580352a59b3029f4a018b4	PINNED	NOT_RUN
enterprisebench	https://github.com/ast-fri/EnterpriseBench.git	vendor/gyms/enterprisebench	HEAD	NATIVE_COMMAND	none	false	false	6b3c501763645cbe1d7f314c6481643f6cd0c52e	PINNED	NOT_RUN
