student_id,book_id,checkout_date,returned
S101,B101,2026-01-12,true
S101,B106,2026-02-05,true
S101,B110,2026-03-01,true
S101,B102,2026-04-12,true
S102,B107,2026-01-17,true
S102,B104,2026-02-15,true
S102,B111,2026-03-22,true
S103,B105,2026-01-19,true
S103,B109,2026-02-16,true
S103,B110,2026-03-20,true
S104,B101,2026-01-20,true
S104,B106,2026-02-21,true
S104,B102,2026-03-25,true
S104,B108,2026-04-10,true
S105,B103,2026-01-11,true
S105,B102,2026-02-08,true
S105,B108,2026-03-18,true
S106,B112,2026-01-22,true
S106,B108,2026-02-24,true
S106,B102,2026-03-26,true
